book,chapter,verse,bororo_text,has_unusual_char
Mateus,2,3,"Tumearudui nowu inodu jitu keje, nowu brae eimejera Herodes rore toku, nowu Jerusalém kejewuge erore toku apo jamedu",False
Mateus,2,4,"Icare ure baire eimejerage, escribadoge, ure edo tudo pui, unorare ei kaibamodeba Cristo butumode",False
Mateus,2,5,"Icare egore ji: - Belém keje, Judeia moto keje, oinore bapera atugododure profeta koia",False
Mateus,2,6,"Aki, Belém, Judeia kejewu, aki boe biegarewu karega ure aki Judeia kejewu bakurireuge etada. Paga karega, apijire boe eimejera jetumode inore emawuge Israeldogeiwu umode tudawuje (Miq 5,2",False
Mateus,2,7,Kodire Herodes mako podure nowu magodoge ewogai. Icare unorare ei kakoduwu ia boe kejeba nowu kuieje kurireu ure towadudo eegai,False
Mateus,2,8,"Ure etuiagu nowu Belém kae, akore ei: - Toro taeruduwa birigodudo nowu negedurogu bogai. Taerudui jitu kejere tamode iwie, ituwo bogai, iwo ipujodo ji jamedu",False
Mateus,2,9,"Tumearudui nowu brae eimejera bataru jitu kejere icare, eture pugeje. Icarema, cewu eerudure ji meri rutu kudawu kuieje kurireu kodure etododai jii cewu negedurogu mugurewo kae, nonore icare ure tuwuredo",False
Mateus,2,10,Cewu kuieje kurireu ui towadudo dukoiare icare ure aidureu gigireu jekarerewu ure enogorawu tabo,False
Mateus,2,11,"Tui turemo dukejere eerudure cewu negeduroguji tuje Maria apo. Ere turodo tuku. Ere tubujodo ji, tui kurido dutabo: tui toroe jado dukeje, ere meriri ekureu bu tu je, ere kidoguru rorewu, kidoguru jirireu, ere bu tu pugeje, ere jodo tuku keje",False
Mateus,2,12,"Ewiedure tunuiao tada ekawo tugirimi cewu Herodes ae, dukodi icare ere tugirimi to moto kae ia awara tuginoiwuji pugeje. Jesus uo, uce, eregodui apo Egito kaedu",False
Mateus,2,13,"Etu uiagejere icare ia Tupare towadudo José unuiao tada, akore ji: - Aragojedo, akeragu nowu negeduroguji, uceji, tarego Egito kae, taedudo toro jii imode tawie pugeje du kae, mare paga karega, Herodes jemarumode nowu negedurogu bogai tuwo bito",False
Mateus,2,14,"Icare José ure turagojedo, boeco kao rugadu, ure tugeragu nowu negeduroguji, uceji jamedu, icare uture ebo Egito kae",False
Mateus,2,15,Nonore eragojere jii Herodes bi kae. Boe koduwo Aroe Eimejerare profetadoge egoiaguwo reore: “Imagore itonaregedu bogai Egito piji”. (Os 11.1). Herodes ui boe etore ewidodu,False
Mateus,2,16,"Herodes, tui boe pa magodogei tuie kuri pagadodu jitu dukeje, bire boe kori koia; ure boe etore o joru buture pobe tu tu jewuge eeda kedodo Belém keje, oiei jamedu, cewu tunorai magodogei du tonaji, dukejere ro oino",False
Mateus,2,17,"Kodire Profeta Jeremias makore jiboe ure pudumi rugadu: 18""Rama moto kejere boe emearudure ia makorewu makoji, boe etoragudui boei maidoduji: boekarema, Raquel rabodure akoino toragudu tabo tore ewogai; ia butugugodure kejeboe bokwa, emagigokare kodi” (Jer 31,15). Jesus uo, uce, ei tugirimi apo Egito pijidu",True
Mateus,2,19,"Herodes bi rekodaji, Pao o tupa ure towadudo José jekai unuiao tada, akore ji: 20""Aragojedo, akeragu nowu negeduroguji, nowu uceji, akirimi Israeldoge eno moto kae; mare paga karega, cewu onare awu negedurogu jiwuge ewire”",True
Mateus,2,21,"Kodi icare José ure turagojedo, ure tugeragu nowu negeduroguji, nowu uceji, uture Israeldoge eno moto kae",False
Mateus,2,22,"Boekarema, tumearudui Arquelao jetui Judeia ji tuo Herodes mugato dukeje, pagudugodure tuduwo toro. Tumearudu birigodui tunuiao tada pugeje dukeje, ure turodo paci woje Galiléia moto kae",False
Mateus,2,23,"Aregodure, ure turagojedo Nazaré bakurireu keje, boewo nono profetadoge emagore jiboe reore: - Ema iemode Nazareno. (Is 11,1). 3 João Batista uwadodae",False
Mateus,2,1,"Nowu dukodi, João Batista ure towadudo tumago tabo, tuwadaru tabo, boe matadu keje, Judeia moto keje",False
Mateus,2,2,Akore: - Tagodorogado tai. Pao o boe pemegarewu puredugodunure,False
Mateus,2,3,"Awu jire profeta Isaia makore, cewu akoi oinodu kodiwu: Ia akorewu akore toro boe makodu tada: Boedo turugadu Aroe Eimejera togi, utawara jetorodo (Is 0,3",False
Mateus,2,4,"João, barege ewiri meture ji, ia iku kogure kajeje. wagere bokokwadogei, okwagere moiawei",False
Mateus,2,5,"Jerusalém ejewuge eiamedu boe, Judeia kejewuge eiamedu boe, Jordão ieiwu boe, etu kigodure ae",False
Mateus,2,6,"Emagore turo pegarewuji biegai, ure etao pego pegodo, nowu Jordão po tada",False
Mateus,2,7,"Mare tuiorudui fariseudoge, saduceudoge etu kigodui to boe etao pegododu kae dukeje, João akore ei: - Awague etumedage, ioguduba ure taeruduwado tawo taginorudo aregodumodewu boe ekorigodae piji?",False
Mateus,2,8,Boe eerududo tagodorogai tai boe rugaduji,False
Mateus,2,9,"Tamago kaba tadoda: Ceore Abraão rema. Oino. Kode, inagomode tai: Pao roiware tuwo Abraão onaregedudo awu torice",False
Mateus,2,10,Paro padure urugadu iguru ukwa paru tada; pemegakarewu iguru kadodumode bariguduwo joruto,False
Mateus,2,11,"Ire tagao pegodo pobo tabo uwo nono tagodorogai taidure; mare aregodumode iregodajiwu, emare ro raka remawure ikori, ikare irugadu iwo bure tadawu reko ai. Ema umode tagao pegodo Aroe Pemegarewu tabo, joru tabo",False
Mateus,2,12,"Iedure bakuji tuwo to iro bakujukodo, tuwo to iro tugu tuiato, tuwo iwo barigu joruto, bi bokwarewu joruto. Jesus ui taopegododu",False
Mateus,2,13,"Jesus uture Galiléia moto piji, Jordão kae, João bogai, uwo taopegodo",False
Mateus,2,14,"Icare Joãore turodo duku tuibagi, akore: Itaopegododumode akera tabo, macare ature itae?",False
Mateus,2,15,Mare Jesus akore: - Nowu inodu piji jao. Parowo nono Pao aidu reore. Kodi icare Joãore turodo duku tuibagi akoinodu keje,False
Mateus,2,16,"Jesus ure tudawuje pobo piji taopegododu rekodaji. Dukejere icare barure tuiado, dukejere jorudure Pao Utaroe ui nono metugu reore duji ui tudawuje tuwugeje duji",False
Mateus,2,7,"Baru piji ia bataru ure turawuje tagoi: - Ica, imearudu kuricigore jiwu itonaregedu reo, kejere ire itaidae pemegarewu jamedu bu",False
Mateus,4,1,Dukejere Aroe Pemegarewu ure Jesus reko toro boe mataduto Aroe pegarewu wo turokogado jitu bogai,False
Mateus,4,2,"Jesus otorogare pudui meri ikera pudogidure, iwure pudogidure, ikera pudogidure, iwure pudogidure. Dukejere icare uke boi buture keje",False
Mateus,4,3,"Podure jiwu ure tuburedo ji, akore ji: - Aroe Eimejera Onaregedumode aki dukeje, amagodo awu toriguruji tuwo amireudo pudumi",False
Mateus,4,4,"Icare Jesus akore: - Bapera atugo pemegarewu keje atugododure oino: Amireu mitodu tabo karega imedu jere, mare Pao bataru jamedu boe tabo (Deut 8,3",False
Mateus,4,5,"Dukejere icare Aroe pegarewu re Jesus reko bakurireu pemegarewu kae, ure rakojedo Pao uwai oto mitodu keje, akore ji",False
Mateus,4,6,"Aroe Eimejera Onaregedunure aki rugadu dukeje, akaredo moto kae. Paga karega, bapera atugododure oino: “Ure to tupadogedo tudo turugadu ai. Etumode ai tugera tabo, akawo awure okorido ia tori tabo” (Sl 90,1112",False
Mateus,4,7,"Jesus akore: - Jamedu bapera atugododure: “Akaba akimejera Aroe Eimejera matadudo aegai” (Deut 6,16",False
Mateus,4,8,"Dukejere icare Aroe pegarewu re Jesus reko pugeje ia tori raicigorewu ao kae, ure jorududo moto jamedu boeji, motui puduiduji jamedu, akore ji",False
Mateus,4,9,"Imode awu jamedu boe makakai, ai apujodo ii dukeje",False
Mateus,4,10,"Jesus akore bataru jipagi: - Toro aibagi, Satans! Paga karega, atugodure oino jamedu: “Amode apujodo akimejera Aroe Eimejeraji, jire awiapagamode tu rugadu” (Deut 6,13",False
Mateus,4,11,"Du inodu keje, Aroe pegarewu re tugera ra piji, dukejere tupadoge ere tuburedo ji tuwo tuwiapagado ji. Jesui tugirini Galiléia kaedu",False
Mateus,4,12,"Jesus, tumearudui boei tugeragu João jitu kejere icare ure turodo oino Galiléia kae",False
Mateus,4,13,"Tui tugera ra Nazaré jitu kodi, rakojere Cafarnaum keje, ia kuruga kurireu jipa keje, Zabulon, Neftali eno moto keje",False
Mateus,4,14,"Uwo nono Profeta Isaia makore jiboere: 15""Zabulon, Neftali eno moto, puredu pobo maerewu okwa kejewu, Jordão kejewu moto, Galiléia kejewu boe",True
Mateus,4,16,"Nowu boe emedure boeco tadawuge, icare eerudure ia boe urugu kurireu ui boe awadudoduji. Barogwa kododureure nowuge ebo, ewi tugui eidu kajeje” (Is 9,1",False
Mateus,4,17,"Nowu piji mato icare Jesus okituware boei, akore: - Tagodorogado tai. Pao o boe pemegarewu puredugodunure. Jesus makoi kare ecebage ei pobe puibijidu bogai",False
Mateus,4,18,"Jesus, tumerui Galiléia kejewu pobo maerewu jipa jitu dutabo, jorudure boei pobeduji: umana, uwie. Simão duwure iere Pedro, mare uwie André, ei buke barigu poboto duji; icarema kare ecebage rabodu",False
Mateus,4,19,"Akore ei: - Mato iregodaji, iwo uwogure boe remawuge eiwugedo tagi",False
Mateus,4,20,"Ako oinodu kejere, ere tugera ra tuwuge piji, ekodure apo",False
Mateus,4,21,"Tugodui tododai dutabo, jorudure iage ei pobe pugeje duji, umana, uwie pugeje: Tiago, Zebedeu onaregedu, mare uwie João, eeduradure tuo Zebedeu apo, enure tuwuge pemegado. Makore etae",False
Mateus,4,22,"Ere ika pijido, ere tuo pijido, ekodure apo. Jesus ui boe eeruduwado, ui boe makarewuge epemegago",False
Mateus,4,23,"Jesus merure Galiléia oiagi, tui boe eeruduwado dutabo sinagoga keje, tui boe eeruduwado Pao o boe pemegarewuji, ciogoi ekogodae pegarewu jamedu boe, okorireboe, urureboe jitu dutabo etada",False
Mateus,4,24,"Dukodi icare akaru ure tumaedo Síria moto jamedu boe joki, boe eture ae kogodureuge ebo, boe okorire, boe urure jiwuge ebo, Aroe pegarewu re taredo towuge ebo, aora bai baireuge ebo, pogora koborewuge ebo, Ure eiamedu boe epemegago",False
Mateus,4,25,"Kodi icare boere turodo taci apo: Galiléia kejewuge, Decápole kejewuge, Jerusalém kejewuge, Judeia kejewuge, Jordão okwa bakowu kejewuge eiamedu",False
Mateus,5,1,"Jesus, tuiorudui nowu boe emagai jitu dukeje, ruture ia boe aoporu ao kae. Ure tumugudo tu je, dukejere ure joruduwadowuge ere tuburedo ji. 2 Icare makore ei, ure eeruduwado tagoi oino dutabo: 3""Uwabore nono marenarue ewabo reorewuge eiwo aidugirimode, eonare Pao o boe pemegarewuji kodi",True
Mateus,5,4,"Oragudureuge, boe birigodure jiwugere emage, butugugodureboe makudumode etai kodi",False
Mateus,5,5,"Boe okori bokware jiwuge, eiwo aidugirimode, emage enomode motoce",False
Mateus,5,6,"Boe jetororewu boire jiwuge, eiwo aidugirimode, ewudugugodumode kodi",False
Mateus,5,7,"Okudureuge, oiagudureuge, eiwo aidugirimode, okudureboe, oiagudureboe makudumode etai kodi",False
Mateus,5,8,"Uwabo pemegarewuge tuwabo pemega koia, eiwo aidugirimode, eerudumode Pao ji kodi",False
Mateus,5,9,"Ure boe butugugodudowuge, eiwo aidugirimode, ekiemode Pao oreie ure emage kodi",False
Mateus,5,10,"Boe etonare jiwuge, egoi boe jetorogodureboeji dukodiwuge, eiwo aidugirimode, eonare Pao o boe pemegarewu ji kodi",False
Mateus,5,11,"Boe emode taroiaododu pegado dukeje, boe etonamode tai dukeje, boe emode tuwadararodaedo tai dukeje ma, taiwo aidugirimode",False
Mateus,5,12,"Taegaredo tai, tagaidudo tai, more kuricigomode tagai baru tada; kode, oinonore onare profetadoge eiwuge etonare ei, duwugere ekodure tagododai. Sal mare urugureboe, jiwu bakaru",False
Mateus,5,13,"Tagire sal reoreboemode tagi moto keje. Sal rododu okwamode taci piji ma, inoba umode pudae pugeje? Kiogwamodukare pugeje, ure turugadu bariguduwo, boe ewure jowo keje",False
Mateus,5,14,Tagire moto kejewu boe urugureboere tagi. Ia bakurireu padui torekodu oagejedu boe eroiwamodukare tuwo biado,False
Mateus,5,15,"Jamedu, boe emodukare ia jorugu mugudo aria kuda, mare jorugu mugumode tumuga keje, uruguwo mugure bai tadawuge eiamedu boeji",False
Mateus,5,16,"Oinore tarugureboe awadudo boe eegai; nowu inodu koia umode boe eerududo taro pemegarewuji, ewo aidureudo, ewo gigireudo Tao baru tadawuji. Boe eroiagudu",False
Mateus,5,17,"Tadugu kaba itaregoduie iwo profetadoge ero, ego, ewadaru okwado. Iwo okwado karega, mare iwo uporu kororogo pudui",False
Mateus,5,18,"Ica, boe jokodu jire inagore tai: baru, moto, okwamode mare ia Pao bataru parurogu okwamodukare",False
Mateus,5,19,"Ure Pao bataru biega inodurogu uredugodudowu, umode boe eeruduwado nowu inodu jitu keje, biega torimode baru tada. Mare cewu rore nono Pao bataru reore, umode boe eeruduwadowu, ie kurimode baru tada",False
Mateus,5,20,"Kode, inagomode oino tai: taro jetororewu kurimodukare nowu fariseudoge, escribadoge ero kori ma, tamodukare taremo baruto",False
Mateus,5,21,Tamearudure mariguduboe eiwu bakaruji: Tagaba boe ewido. Ure boe ewidowuge emagere boe eimejerage erorerumode ei,False
Mateus,5,22,"Mare inagomode oino tai: Kodu kagirire tumana, tuwie jiwu, jiwomode ema remawu boe eimejerage enogituwa koia. Cewu akore: Boe kioga karega ino jiwu, boe eimejerage emode boe pegado ji; akomode: “Aora bai baireu” oino jiwu, jiwomode joruce",False
Mateus,5,23,"Kode, atumode altar jokora kae awo aro pemegarewu maku Pao ai, mare nono awiabutumode ia amana, ia awie ro pegare aiwu keje ma,",False
Mateus,5,24,"nowu akoe jetu nono altar jokorai jao, atudo amana rabodu, awie rabodu ae jao, amagodo ji, butugugoduwo ai; dukejere icare atumode mato awo nowu aro pemegarewu maku",False
Mateus,5,25,"Apemegado onare aiwuji akodui apo boe eimejera ae du tonaji, ukawo amagu boe eimejera ai, boe eimejera ukawo amagu tugoboigare ai, ukawo atugu baicorewuto",False
Mateus,5,26,"Boe jokoduji inagomode ai: amodukare atawuje, akai jamedu boe morido du kae. Jesus akoi boe ero pegarewu jidu",False
Mateus,5,27,Tamearudure mariguduwuge eiwu bakaruji: Akera keadu kaba ia aredu ji,False
Mateus,5,28,"Mare inagomode tai: cewu aiwore tagemo pegarewu tabo ia aredu jiwu, ure tubegado ji tuwabo tada",False
Mateus,5,29,"Kodi icare, aeku pemegarewu koiamode ure awududo boe pegarewuto ma, tawuje, barigudu jaedo apiji. Ure turugadu ai ia akoerogu bariguduwo apiji mare umode aiamedu boe bariguduwo joruto dure ema karega",False
Mateus,5,30,"Akana pemegarewu koiamode ure awududo boe pegarewuto ma, kado, barigudu jaedo apiji. Ure turugadu ai ia akoerogu bariguduwo apiji, mare aiamedu boe bariguduwo joruto dure ema karega. Jesus akoi boe ei pu barigudu jidu",False
Mateus,5,31,"Awu bakaru reo jamedu: Ure tugera ra tuwire pijiwu, umode bapera maku ai tui tugera ra piji dutabo",False
Mateus,5,32,"Mare inagomode oino tai: Boere tugera maku puai boe jetororewu tabo, dukeje oredu umode toreduje barigu tubiji ma, unure toreduje ro pegado. Cewu mugumode barigudureu aredu apowu, ro pegamode jamedu",False
Mateus,5,33,"Tamearudure mariguduwuge eiboe jituji: Akaba akogwatugu ia pagaboe kori koia, mare amagore Pao ji jiboe boe pemegarewu akaba pijido",False
Mateus,5,34,"Mare oino ingomode tai: Tagaba tagogwatugu rugadu, jamedu baruto karega jamedu, mare paga karega, Pao muganure ema kodi",False
Mateus,5,35,"Jamedu moto keje akaba ino, mare paga karega, nonore ure tuwure bu dukoia. Jamedu, Jerusalém keje karega jamedu, mare paga karega Boe Eimejera kurireu o bakurireu rema kodi",False
Mateus,5,36,"Jamedu, akaba akogwatugu akaora tabo, amodukare ia akao ira corewu kigadudo, amodukare ia akao kigadureu codo",False
Mateus,5,37,"Tamagomode: U!, u! rugadu dukeje. Tamagomode: Boro, boro rugadu dukeje. Kodure nowu koriboe aregodure Aroe pegarewu piji. Jesus makoi boe ero kirimidu jitu",False
Mateus,5,38,"Tamearudure oinoie ure duji: Joku umode tumorido jokuji, o umode tumorido oji",False
Mateus,5,39,"Imirema inagomode oino tai: Tagaba tabewudo tai ia pegare taiboe togi. Mare iaboe umode tugera to akana pemegarewu jaogwaiwu aeji ma, ae mekido pai ae awubowu tabo ji pugeje",False
Mateus,5,40,"Iaboe aidumode akudawu poru kejewuji ma, awiri kejewu maku ai jamedu",False
Mateus,5,41,"Iaboe emode akodudo pudabo kuri iaboe kae ma, ako doku kori inodu otobiji apo",False
Mateus,5,42,"Ia boe enogwamagudumode ai ia ure tu akabo boeji ma, makai rugadu. Ia boe enogwamagudumode ai ia akoroeroguji jao ma, maku jao rugadu. Jesus makoi boe emearudu kuriiagu onare puduiwuge eidu",False
Mateus,5,43,"Tamearudure jaowu kodiwu bakaruji: “Amearudu kurimode ameduiaji, akorimode onare aiwuji”",False
Mateus,5,44,"Imirema inagomode oino tai: Tamearudu kurido onare taiwugei, taro pemegado kodu kagirire taiwugei, tamagodo onare taiwuge, rorerure taiwuge eparu tabo",False
Mateus,5,45,"Nowu inodu tabo, Tao baru tadawu oremode tagi, duwure meri rutudo pegarewuge ewugeje, pemegarewuge ewugeje, ure bubutudo pemegarewuge, pemegakarewuge ewugeje",False
Mateus,5,46,"Tamearudu kurimode mearudu kurire taiwugei ma, kaboba morimode ema? Nowu publicanodoge erokana ino jamedu?",False
Mateus,5,47,"Tamago pemegamode tu tawobei ma, inoba ureu boe kurireuba tare udo? Ao pegokarewuge erokana ino jamedu?",False
Mateus,5,48,"Kode, tabemegado tawo nono Tao baru tadawu pemega magadure",False
Mateus,6,1,Tagaba taro pemegai boeidu boe eerududo ji. Umodukare ino ma. Tao baru tadawu umodukare morido tagai,False
Mateus,6,2,"Kode, amode akogududo tu ia ameduia apo dukeje, akaba aebogodudo inoduji, ukawo nono sinagoga kejewuge ero magai pui du reore, ere pu kurido tuiegai nowu inodu koia. Boe jokodu, inagomode oino: Mori makudure etai marigudu",False
Mateus,6,3,"Are akogududo ia boe ebo, mare akana koborewu joruduwakado akana pemegarewu ro oinoduji",False
Mateus,6,4,"Nowu inodu tabo, ai akogududo ia boe ebodu biadure, Ao, jorudure biadodureboe jamedu jiwu, umode mori maku akai. Jesus makoi boe emagoi barutodu",False
Mateus,6,5,"Amagomode aparu tabo dukeje, arokaba nono ure boe ee to puiboe reore; emage emagore tubaru tabo turagojei sinagoga keje, boe eeruduwo pudui du bogai. Inagomode boe jokoduji tai: Nowu ure oinowuge mori makudure etai marigudu",False
Mateus,6,6,"Amagomode aparu tabo dukeje, aremo awaito, baiporo mi, amagodo Aoji bia tabo, Ao, jorudure biareboe jiwu, umode morido akai",False
Mateus,6,7,"Tamagomode tabaru keje dukeje, tagaba nowu tamagoi tabaru kejewu kodiwu tawadaru tagaba itodudo nono aopegokarewuge ego reore, emeardaere nowu tuwadaru awadu koiaie boe emearudumode nowu tagoinodu jituji",False
Mateus,6,8,"Tagaba tadugu nowu ero oinoduto; mare paga karega, Tao joruduware kaboba tagaidure bogaiboeji tagogwamagudure bogaidu otodai",False
Mateus,6,9,"Oinore tagagomode tabaru tabo: Pao, rakojere baru tadawu, boe etaidudo akieji",False
Mateus,6,10,Aeto cei. Boedo nono akaidu reore oino moto keje boe magai baru tadadure,False
Mateus,6,11,"Cege maku cenai, boe jamedu jiwu maku cenai",False
Mateus,6,12,"Awudugugo cei cero pegarewuji, nono cewudugugodu magai ro pegare ceiwuge eidure",False
Mateus,6,13,"Akaba cewududo boe pegarewuto, mare ceginorudo pegareboe piji",False
Mateus,6,14,"Mare tawudugugodumode boei ero pegare taiwu keje ma, Tao baru tadawu butugugodumode tai jamedu",False
Mateus,6,15,"Mare tawudugugodumodukare ro pegare taiwugei dukeje, jamedu Tao baru tadawu butugugodumodukare tai jamedu. Jesus makoi boe etodoroga jitu",False
Mateus,6,16,"Tagodorogamode tai dukeje, tagaba tagiarigo nono ure boe pagado puduiwuge ero magadure, duwuge ere tuie kiarigodudo, boe eeruduwo oinoie todorogare pudui dukoiaie tuie makodure oinono. Boe jokoduji inagomode oino tai: morire etai marigudu",False
Mateus,6,17,"Akodorogamode ai dukeje, roreboe tugu akaoto, ae kabi jamedu",False
Mateus,6,18,"Nowu inodu tabo amodukare nono otorogare puduiboere boe eegai, mare Ao jorudure biadodureboe jiwu, jekai tu rugadu; Aore, jorudure biadodureboe jiwu, dure umode morido akai. Boe enoroe kurireu ema remawu",False
Mateus,6,19,"Tagaba moto kejewu boe enoroe itodudo tagai; mare paga karega, moto keje uruguro borewuge emode pegado, iwogu kigodureuge emode bai porodo, eiwogumode ji",False
Mateus,6,20,"Boe enoroe pemegarewu itodudo tagai baru tada. Torore uruguro borewuge emodukare pegado, iwogu kigodureuge emodukare bai porodo, eiwogumodukare ji",False
Mateus,6,21,"Kode, nowu akoroe pemegarewu jeturewo kejere awabo mugure keje jamedu. Boe erugu",False
Mateus,6,22,"Boe eekure jorugu rema boe etai; aeku pemegamode dukeje, umode aredu jamedu boe urugudo",False
Mateus,6,23,"Jamedu, aeku pemegamodukare ma, aredu jamedu metumode boecorewu tada. Jorugu metui atodadu boeconure emadu ma, inoba boeco comode? Pao baru tadawu mare awu moto kejewu boe enoroe",False
Mateus,6,24,"Boe emodukare tudo puibiji ia cimejeraji, mare kodu kagirimode iaji, mearudu kurimode iaji rabodu, iarema biapagamode iaji, umode ia pijido rabodu. Taroiwamodukare tamearudu kuriwo Pao ji, tamearudu kurii boe enoroeji dutabo",False
Mateus,6,25,"Dukodi icare inagomode oino tai: Tagogea kaba tamode kowuje taewo du bogai, tagogea kaba metumode taiboe bogai. Kode taei tu jedu karega kodure tagogwagemodedu kori? Tagodu, tawiri karega kodure metumode taiboe kori?",False
Mateus,6,26,"Tagaiwodo cebojewu kiege baregei: ekare boe tugu, ekare tugeragu ture tugu boeji, ekare tugu tuiato, mare Tao baru tadawu ure enogwagedo. Tagodukare remawu ekori?",False
Mateus,6,27,Kakoduwu ia tagiba umode tabewudo tai taragoje raiwo biega tu je du bogai?,False
Mateus,6,28,"Kode, kodiba tagogeare metumode taiboe bogai? Tagado tu okureboe botu ji ka! Emaragodukare, ekare akigu to",False
Mateus,6,29,"Nowu inodu boe oiado, inagomode tai: Ica, Salomão, boe remawu pudumidu inodu tabo, ukare tugudaedo nono awu okureboe reore",False
Mateus,6,30,"Paore igurudo oino, ipogurudo oino, iwaragurudo oino, du boture awuji, barogwato barigudumode joruto. Ica, kode, tagi, ime meartoru bokwarewuge?",False
Mateus,6,31,"Kode, tagiarigodu kaba, tamago kaba: Kaba jiba pagogwagemode, kaba ceba pagudumode, kaboba pamode tugu pai?",False
Mateus,6,32,Ao pegokarewuge erore gara gara gara nowu inodu jamedu bogai. Aro! Tao baru tadawu joruduware tagogeai nowu inodu bogai duji,False
Mateus,6,33,Tameardaedo tamuguwo Pao o boe pemegarewu tada du bogai boetoji. Pao o boe jetororewu bogai jamedu; nowuia boerema makudumode tagai jamedu,False
Mateus,6,34,"Kode, tagogea kaba barogwatoboe bogai, barogwatoboe okeamode pudui dukodi. Ia boe etogeare bogaiboe padure tu tu tuwugeje meri kodu uroduji, du ure turugadu",False
Mateus,7,1,"Tadugu kaba boei, boe etugu kawo tai",False
Mateus,7,2,"Mare paga karega, tadugui boei du reore, umode tai jamedu: tai boe remagu du reore taremagudumode jamedu",False
Mateus,7,3,"Kodiba akaiwore nowu boe gigudurogu padui amana, awie, eeku keje duji, macare aerudukare baimogajejewu mugui aeku keje duji?",False
Mateus,7,4,"Mare kodiba akidare akagowo amanaji, awieji: Iwo nowu boegigudurogu rawuje aeku piji, ia baimogajejewu padui aeku kejedu inodu tabo?",False
