id	witness_a	witness_b	reviewed	portuguese	similarity	provisional_class	difference_summary
BOR-CORBO-HM001-u011	Ure tuiebu.	Ure tuiebu.	Ure tuiebu.	Ele saiu.	1.000	near-identical	
BOR-CORBO-HM001-u012	Mare nowu ime eerudukare ji. Eerudukare nowu imeduji, eerudukare Pemoji. Eerudure nowu Pemoji, ukare emeardae reore: aora bokware, joku bokware, enoja bokware, kana bokware, pogora bokware. Ia boe aiarewu padure nono joru okwai: ekure, kujagure, core, kaworure. Oinore ure, dure padure nono, nowu inodu renure ji gu...	Mare nowy ime eerydykare ji. Eerydykare nowy imedy ji, eerydykare Pemo ji. Eerydyre nowy Pemo ji, ukare emeardae reore: aora bokware, joku bokware, enoja bokware, kana bokware, pogora bokware. Ia boe aiarewy padure nono joru okwai: ekure, kujagure, core, kaworure. Oinore ure, dure padure nono, nowy inodu renure ji gu...	Mare nowu ime eerudukare ji. Eerudukare nowu imedu ji, eerudukare Pemo ji. Eerudure nowu Pemo ji, ukare emeardae reore: aora bokware, joku bokware, enoja bokware, kana bokware, pogora bokware. Ia boe aiarewu padure nono joru okwai: ekure, kujagure, core, kaworure. Oinore ure, dure padure nono, nowu inodu renure ji gu...	"Mas os homens não o viam. Não viam aquele homem. Não viam Pemo.
Viam Pemo mas não era como eles se imaginavam. Não tinha cabeça, não tinha olhos, não tinha nariz, não tinha braços, não tinha pernas.
Era uma coisa redonda que estava ali na beira do fogo: era amarelo, vermelho, preto, azul. Assim que era, ele estava Aí ....."	0.833	substantive-or-segmentation	replace: [nowu] -> [nowy] | replace: [eerudukare] -> [eerydykare] | replace: [Eerudukare nowu imeduji, eerudukare Pemoji. Eerudure nowu Pemoji,] -> [Eerydykare nowy imedy ji, eerydykare Pemo ji. Eerydyre nowy Pemo ji,] | replace: [aiarewu] -> [aiarewy] | replace: [nowu] -> [nowy]
BOR-CORBO-HM001-u013	Nowu koiare ure nowu tonaregedu bataru towuje. Nowu tonaregedu ure paerududo ji, mare ema remawu rema ukare paeredudo pudui.	Nowy koiare ure nowy tonaregedy batary towyje. Nowy tonaregedy ure paerdydo ji, mare ema remawy rema ukare paeredydo pudui.	Nowu koiare ure nowu tonaregedu bataru towuje. Nowu tonaregedu ure paerududo ji, mare ema remawu rema ukare paeredudo pudui.	Foi ele que fez a palavra do filho. Foi ele que nos fez ver o seu filho, mas a si mesmo ele não nos fez ver.1	0.919	orthographic/editorial	replace: [Nowu] -> [Nowy] | replace: [nowu tonaregedu bataru towuje. Nowu tonaregedu] -> [nowy tonaregedy batary towyje. Nowy tonaregedy] | replace: [paerududo] -> [paerdydo] | replace: [remawu] -> [remawy] | replace: [paeredudo] -> [paeredydo]
BOR-CORBO-HM001-u014	Ca! Boecodure pugeje. Ure barogwa kododudo pugeje. Icare akore Nowé! Akore Nowé! Dukeje icare kudugodure. Akore Kao! Akore Aebu! Awo akowarudo, aeruduwo joruji, awo akera kabi, awo ae kabi, awo aia kabi, awo awu re kabi, awo ape kujagu barigu, awo akiguru kujagu barigu, amearudu awaduwo ai!	Ca! Boecodure pugeje. Ure barogwa kododydo pugeje. Icare akore: Nowé! Akore: Nowé! Dykeje icare kudugodyre. Akore: Kao! Akore: Aebu! Awo akowarudo, aerydywo joru ji, awo akera kabi, awo ae kabi, awo aia kabi, awo awy re kabi, awo ape kujagu barigu, awo akiguru kujagu barigu, amearudu awaduwo ai!	Ca! Boecodure pugeje. Ure barogwa kododudo pugeje. Icare akore Nowé! Akore Nowé! Dukeje icare kudugodure. Akore Kao! Akore Aebu! Awo akowarudo, aeruduwo joru ji, awo akera kabi, awo ae kabi, awo aia kabi, awo awu re kabi, awo ape kujagu barigu, awo akiguru kujagu barigu, amearudu awaduwo ai!	"Eis! Anoiteceu de novo, e de novo ele fez amanhecer.
Então disse: - Noé! Disse: - Noé!
Ele respondeu gritando: - Kao!
Disse: - Saia! Para se esquentar, para ver o fogo, pala lavar as mãos, para lavar o rosto, para lavar a boca, para lavar os pés, para fazer as suas necessidades, para ficares esperto."	0.678	substantive-or-segmentation	replace: [kododudo] -> [kododydo] | replace: [akore] -> [akore:] | replace: [Akore] -> [Akore:] | replace: [Dukeje] -> [Dykeje] | replace: [kudugodure. Akore] -> [kudugodyre. Akore:] | replace: [Akore] -> [Akore:] | replace: [aeruduwo joruji,] -> [aerydywo joru ji,] | replace: [awu] -> [awy]
BOR-CORBO-HM001-u015	Icare boecodure pugeje. Icare ure barogwa kododudo pugeje. Icare makore ia imedu bogai pugeje. Akore Kiko! Akore Kiko! Kudugodure: - Kao! Akore Aebu! Awo akowarudo, aeruduwo joruji, awo akera kabi, awo ae kabi, awo aia kabi, awo ape kujagu barigu, awo kiguru kujagu barigu, amearudu awaduwo ai.	Icare boecodure pugeje. Icare ure barogwa kododydo pugeje. Icare makore ia imedy bogai pugeje. Akore: Kiko! Akore: Kiko! Kudugodyre: - Kao! Akore: Aebu! Awo akowarudo, aerydywo joru ji, awo akera kabi, awo ae kabi, awo aia kabi, awo ape kujagu barigu, awo kiguru kujagu barigu, amearudu awaduwo ai.	Icare boecodure pugeje. Icare ure barogwa kododudo pugeje. Icare makore ia imedu bogai pugeje. Akore Kiko! Akore Kiko! Kudugodure: - Kao! Akore Aebu! Awo akowarudo, aeruduwo joru ji, awo akera kabi, awo ae kabi, awo aia kabi, awo ape kujagu barigu, awo kiguru kujagu barigu, amearudu awaduwo ai.	"Fez anoitecer de novo, e de novo fez amanhecer. Aí chamou um outro homem dizendo: - Kiko! Chamou: - Kiko!
gritou: - Kao!
Disse-lhe: Saia! Para se esquentar, para ver o fogo, para lavar as mãos, para lavar o rosto, para lavar a boca; para fazer as suas necessidades, para ficar esperto."	0.709	substantive-or-segmentation	replace: [kododudo] -> [kododydo] | replace: [imedu] -> [imedy] | replace: [Akore] -> [Akore:] | replace: [Akore] -> [Akore:] | replace: [Kudugodure:] -> [Kudugodyre:] | replace: [Akore] -> [Akore:] | replace: [aeruduwo joruji,] -> [aerydywo joru ji,]
BOR-CORBO-HM001-u016	Icá, akado! Kodure boeto jiwo paomage reno. Nonore kodure boeto jiwu paomage eiere. Nowu Pao Pemo koia. Nowu tore pawadure jore, nowu pijire pawadaru uture. Nowu tore pagie jore, nowu pijire pagie uture. Nowu tore page jore. Nowu pijire page uture. Nowu tore pagoroe jore, nowu pijire pagoroe uture. Nowu tore bakaru jore, nowu pijire bakaru uture... Nowu kodure boeto jiwu Pao koia.	Icá, akado! Kodure boeto jiwo paomage reno. Nonore kodure boeto jiwy paomage eiere. Nowy Pao Pemo koia. Nowy tore pawadure jore, nowy pijire pawadary uture. Nowy tore pagie jore, nowy pijire pagie uture. Nowy tore page jore. Nowy pijire page uture. Nowy tore pagoroe jore, nowy pijire pagoroe uture. Nowy tore bakaru jore, nowy pijire bakaru uture... Nowy kodure boeto jiwy Pao koia.		Eis! Veja! Esses são os nossos primeiros pais. Assim que era o nome dos nossos primeiros pais. Pela ação do nosso Pai Pemo. Nele estava a nossa palavra, dele saiu a nossa palavra. Nele estava o nosso nome, o nosso nome saiu dele. O nosso alimento estava nele. Dele saiu o nosso alimento. Nossos enfeites estavam nele, dele sAíram os nossos enfeites. Nele estava a nossa hist—ria. A nossa hist—ria saiu dele. Pela ação daquele nosso primeiro Pai.	0.300	substantive-or-segmentation	replace: [jiwu] -> [jiwy] | replace: [Nowu] -> [Nowy] | replace: [Nowu] -> [Nowy] | replace: [nowu] -> [nowy] | replace: [pawadaru] -> [pawadary] | replace: [Nowu] -> [Nowy] | replace: [nowu] -> [nowy] | replace: [Nowu] -> [Nowy]
BOR-CORBO-HM001-u017	Emare ure ciegi. Akore Pemo! Akore Pemo! Du kodaji pagagore Pemo, oino ji.	Emare ure ciegi. Akore: Pemo! Akore: Pemo! Du kodaji pagagore Pemo, oino ji.	Emare ure ciegi. Akore Pemo! Akore Pemo! Dukodaji pagagore Pemo, oino ji.	"Ele mesmo se deu nome dizendo Ð Pemo! Pemo!
DAí para frente nós  o chamamos assim: Pemo.2"	0.987	near-identical	replace: [Akore] -> [Akore:] | replace: [Akore] -> [Akore:]
BOR-CORBO-HM001-u018	Areme pugeje. Icá! Woere icare Pemo ure areme etowuje woe.	Areme pugeje. Icá! Woere icare Pemo ure areme etowyje woe.	Areme pugeje. Icá! Woere icare Pemo ure areme etowuje woe.	Agora as mulheres. Eis! Foi aqui que Pemo fez as mulheres.	0.983	near-identical	replace: [etowuje] -> [etowyje]
BOR-CORBO-HM001-u019	Ca! Ure boecodudo, ure barogwa kododudo. Akore okoge Ekurewudo ! Aebu mato ! Kudugodure kuri je , akore bwé ! Oino.	Ca! Ure boecodydo, ure barogwa kododydo. Akore: Okoge Ekurewydo! Aebu mato! Kudugodyre kuri je, akore: Bwé! Oino.	Ca! Ure boecodudo, ure barogwa kododudo. Akore okoge Ekurewudo ! Aebu mato ! Kudugodure kuri je , akore bwe ! Oino.	"Eis! Ele fez anoitecer e fez amanhecer.
E disse:- Okoge Ekurewudo! Sai para cá!
Ela gritou dizendo assim: - Bwé!"	0.921	orthographic/editorial	replace: [boecodudo,] -> [boecodydo,] | replace: [kododudo. Akore okoge Ekurewudo !] -> [kododydo. Akore: Okoge Ekurewydo!] | replace: [mato ! Kudugodure] -> [mato! Kudugodyre] | replace: [je , akore bwé !] -> [je, akore: Bwé!]
BOR-CORBO-HM001-u020	Akore- Aeruduwo barogwa kododuji, awo akowarudo, awo akera kabi, awo ae kabi, awo aia kabi, awo awu re kabi, awo ape kujagu barigu, awo akiguru kujagu barigu, Amearudu awaduwo ai!	Akore:- Aerydywo barogwa kododuji, awo akowarudo, awo akera kabi, awo ae kabi, awo aia kabi, awo awy re kabi, awo ape kujagu barigu, awo akiguru kujagu barigu, Amearudu awaduwo ai!	Akore- Aeruduwo barogwa kododuji, awo akowarudo, awo akera kabi, awo ae kabi, awo aia kabi, awo awu re kabi, awo ape kujagu barigu, awo akiguru kujagu barigu, amearudu awaduwo ai!	Ele disse: - Para você contemplar o amanhecer, para você se esquentar, para lavar as mãos, para lavar o rosto, para lavar a boca, para lavar os pés, para fazer as suas necessidades, para ficar animada.	0.981	near-identical	replace: [Akore- Aeruduwo] -> [Akore:- Aerydywo] | replace: [awu] -> [awy]
BOR-CORBO-HM001-u021	Ure boecodudo pugeje, ure barogwa kododudo. Icare makogodure toro aredu bogai pugeje. Akore Cibae Ekurewudo! Aebu mato! Kudugodure kuri je, akore Bwé!	Ure boecodydo pugeje, ure barogwa kododydo. Icare makogodyre toro aredy bogai pugeje. Akore: Cibae Ekurewydo! Aebu mato! Kudugodyre kuri je, akore: Bwé!	Ure boecodudo pugeje, ure barogwa kododudo. Icare makogodure toro aredu bogai pugeje. Akore Cibae Ekurewudo! Aebu mato! Kudugodure kuri je, akore bwe!	"Ele fez anoitecer de novo e fez amanhecer. Ai chamou de novo uma mulher dizendo: - Cibae Ekurewudo! Sai para cá!
Ela respondeu logo gritando: - Bwé!"	0.954	orthographic/editorial	replace: [boecodudo] -> [boecodydo] | replace: [kododudo.] -> [kododydo.] | replace: [makogodure] -> [makogodyre] | replace: [aredu] -> [aredy] | replace: [Akore] -> [Akore:] | replace: [Ekurewudo!] -> [Ekurewydo!] | replace: [Kudugodure] -> [Kudugodyre] | replace: [akore] -> [akore:]
BOR-CORBO-HM001-u022	Akore Aebu mato! Aeruduwo barogwa kododuji,awo akowarudo, awo akera kabi, awo aia kabi, awo ae kabi, awo awu re kabi, awo ape kujagu barigu, awo akiguru kujagu barigu, ameardu awaduwo ai!.	Akore: Aebu mato! Aerydywo barogwa kododu ji,awo akowarudo, awo akera kabi, awo aia kabi, awo ae kabi, awo awy re kabi, awo ape kujagu barigu, awo akiguru kujagu barigu, ameardu awaduwo ai!.	Akore Aebu mato! Aeruduwo barogwa kododu ji,awo akowarudo, awo akera kabi, awo aia kabi, awo ae kabi, awo awu re kabi, awo ape kujagu barigu, awo akiguru kujagu barigu, ameardu awaduwo ai!.	Ele disse: - Saia para cá! Para contemplar o amanhecer, para se esquentar, para lavar as mãos, para lavar a boca, para lavar o rosto, para lavar os pés, para fazer as suas necessidades, para ficar animada	0.979	near-identical	replace: [Akore] -> [Akore:] | replace: [Aeruduwo] -> [Aerydywo] | replace: [kododuji,awo] -> [kododu ji,awo] | replace: [awu] -> [awy]
BOR-CORBO-HM001-u023	Ca! Nonore icare ure tonaregedu Baraedugume udo boe eke iegi pugeje. Ure boecodudo. Ure barogwa kododudo.	Ca! Nonore icare ure tonaregedy Baraedugume udo boe eke iegi pugeje. Ure boecodydo. Ure barogwa kododydo.		Eis! Então ele (Pemo) fez com que seu filho Baraedugume nomeasse os alimentos. Ele fez anoitecer e fez amanhecer.	0.971	near-identical	replace: [tonaregedu] -> [tonaregedy] | replace: [boecodudo.] -> [boecodydo.] | replace: [kododudo.] -> [kododydo.]
BOR-CORBO-HM001-u024	Icare Baraedugume ure tuie maedu pugeje tu...Akore E! Itugare braedu uke iro bokwa ra... Itugare braedu uke kuiada bokwa ra... Itugare braedu uke riboarewu bokwa ra... Itugare braedu uke tako bokwa ra...Itugare braedu uke bako bokwa ra...	Icare Baraedugume ure tuie maedy pugeje ty...Akore: E! Itugare braedy uke iro bokwa ra... Itugare braedy uke kuiada bokwa ra... Itugare braedy uke riboarewy bokwa ra... Itugare braedy uke tako bokwa ra...Itugare braedy uke bako bokwa ra...	Icare Baraedugume ure tuie maedu pugeje tu... Akore e! Itugare baraedu uke iro bokwa ra... Itugare baraedu uke kuiada bokwa ra... Itugare baraedu uke riboarewu bokwa ra... Itugare baraedu uke tako bokwa ra...Itugare baraedu uke bako bokwa ra...	"Então Baraedugume estendeu a vista e disse: - Eh! O meu súdito o branco não tem arroz... O meu súdito branco não tem milho... O meu súdito branco não tem ab—bora...O meu súdito branco não tem cana... O meu súdito branco não tem banana...


##########"	0.273	substantive-or-segmentation	replace: [maedu] -> [maedy] | replace: [tu...Akore] -> [ty...Akore:] | replace: [braedu] -> [braedy] | replace: [braedu] -> [braedy] | replace: [braedu] -> [braedy] | replace: [riboarewu] -> [riboarewy] | replace: [braedu] -> [braedy] | replace: [braedu] -> [braedy]
BOR-CORBO-HM001-u025	Icare Pemore tonaregedudo tudugu tuguda, ure udo tudo motoji pr! Cewu makore jiboe jamedu pado moto kajeje já tuku. Oinore nowu makore jiboere boe joki!	Icare Pemore tonaregedydo tudugu tuguda, ure udo tudo moto ji pr! Cewy makore jiboe jamedy pado moto kajeje já tuku. Oinore nowy makore jiboere boe joki!	Icare Pemore tonaregedudo tudugu tuguda, ure udo tudo moto ji pr! Cewu makore jiboe jamedu pado moto kajeje já tuku. Oinore nowu makore jiboere boe joki!	"Então Pemo fez com que seu filho o levantasse e o jogasse no chão.
De repente todas as coisas que tinha falado apareceram na terra.
Tudo o que ele tinha gfalado estava espalhado por toda parte."	0.970	near-identical	replace: [tonaregedudo] -> [tonaregedydo] | replace: [motoji] -> [moto ji] | replace: [Cewu] -> [Cewy] | replace: [jamedu] -> [jamedy] | replace: [nowu] -> [nowy]
BOR-CORBO-HM001-u026	Icare ure boecodudo pugeje, icare ure barogwa kododudo. Icare okeare (desejou, achou falta ) pugeje, akore Wo! Itugare braedu uke tapira bokwa ra! Uke kagariga bokwa ra! Uke jugorewu bokwa ra! Aku kowaru bokwa ra!	Icare ure boecodydo pugeje, icare ure barogwa kododydo. Icare okeare (desejou, achou falta ) pugeje, akore: Wo! Itugare braedy uke tapira bokwa ra! Uke kagariga bokwa ra! Uke jugorewy bokwa ra! Aku kowaru bokwa ra!	Icare ure boecodudo pugeje, icare ure barogwa kododudo. Icare okeare (desejou, achou falta ) pugeje, akore Wo! Itugare braedu uke tapira bokwa ra! Uke kagariga bokwa ra! Uke jugorewu bokwa ra! Aku kowaru bokwa ra!	"Depois ele fez anoitecer e amanhecer novamente.
Então ele continuou achando falta, dizendo: - Oh! Eis que o meu súdito branco não tem gado... Ele não tem galinha... Ele não tem porcos... Ele não tem cavalos!"	0.979	near-identical	replace: [boecodudo] -> [boecodydo] | replace: [kododudo.] -> [kododydo.] | replace: [akore] -> [akore:] | replace: [braedu] -> [braedy] | replace: [jugorewu] -> [jugorewy]
BOR-CORBO-HM001-u027	Dukeje icare ure tonaregedu Baraedugume udo tudugu tuguda. Ure udo tudo motoji pr! Nono nowu makore jiboe jamedu padure moto kajeje pugeje	Dykeje icare ure tonaregedy Baraedugume udo tudugu tuguda. Ure udo tudo moto ji pr! Nono nowy makore jiboe jamedy padure moto kajeje pugeje	Dukeje icare ure tonaregedu Baraedugume udo tudugu tuguda. Ure udo tudo moto ji pr! Nono nowu makore jiboe jamedu padure moto kajeje pugeje	Então ele (Pemo), fez com que seu filho Baraedugume o levantasse e o jogasse no chão. Aí tudo o que ele tinha falado apareceu também na terra. 4	0.968	orthographic/editorial	replace: [Dukeje] -> [Dykeje] | replace: [tonaregedu] -> [tonaregedy] | replace: [motoji] -> [moto ji] | replace: [nowu] -> [nowy] | replace: [jamedu] -> [jamedy]
BOR-CORBO-HM001-u028	Icare pare kowuje: pemegare pai rugadu. Ukare paguri kugudo, pegakare pai. Mare pagogwagekare kuri je. Boe raire pagogwage kaduji. Mare page boikare pai. Pagiarigodukare page boi koia. Kodire page kodukare boeto ji. Pare parugadu, dukeje icare page aregodure. Oino.	Icare pare kowyje: pemegare pai rugadu. Ukare paguri kugudo, pegakare pai. Mare pagogwagekare kuri je. Boe raire pagogwage kadu ji. Mare page boikare pai. Pagiarigodykare page boi koia. Kodire page kodukare boeto ji. Pare parugadu, dykeje icare page aregodyre. Oino.		"Aí nós  comemos e gostamos. Não nos revoltou o est™mago, não nos fez mal.
Mas não foi logo que comemos. Passamos muito tempo sem comer, porque não sent’amos fome. Não ficávamos tristes por falta de comida. Então não foi a comida que apareceu primeiro. Depois que nós  estávamos prontos foi que veio a comida."	0.983	near-identical	replace: [kowuje:] -> [kowyje:] | replace: [kaduji.] -> [kadu ji.] | replace: [Pagiarigodukare] -> [Pagiarigodykare] | replace: [dukeje] -> [dykeje] | replace: [aregodure.] -> [aregodyre.]
BOR-CORBO-HM001-u029	Boe, oinore pagiere boeto ji. Boe, oinore Pao Pemore Pao Baraedugume akodo pai boeto ji.	Boe, oinore pagiere boeto ji. Boe, oinore Pao Pemore Pao Baraedugume akodo pai boeto ji.		"""Gente"", foi assim que nos chamamos primeiro. ""Gente"", foi assim que o nosso Pai Pemo fez com que o nosso Pai Baraedugume nos chamasse primeiro."	1.000	near-identical	
BOR-CORBO-HM001-u030	Nowu pijire icare Pao Pemore tonaregedudo tumugatowuge eiegi pugeje.	Nowy pijire icare Pao Pemore tonaregedydo tumugatowyge eiegi pugeje.		Depois daquilo, o nosso Pai Pemo fez com que seu filho chamasse os seus sucessores.	0.956	orthographic/editorial	replace: [Nowu] -> [Nowy] | replace: [tonaregedudo tumugatowuge] -> [tonaregedydo tumugatowyge]
BOR-CORBO-HM001-u031	Du Pao Baraedugume mugutowugere eiere Mano Kurirewu , Aroroedu Cebegiwu.	Du Pao Baraedugume mugutowygere eiere Mano Kurirewy (Aroroedy Cebegiwu).		Esses sucessores do nosso Pai Baraedugume se chamam Mano Kurirewu (do Clã das larvas do lado de baixo)	0.931	orthographic/editorial	replace: [mugutowugere] -> [mugutowygere] | replace: [Kurirewu , Aroroedu Cebegiwu.] -> [Kurirewy (Aroroedy Cebegiwu).]
