id	section	title	speaker	translator	source_number	translation_number	source	reviewed	portuguese	editorial_note
BOR-CORBO-BOE-01-036	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	36	36	Aredu akore: “Ioga pega”, oino. Aredu akore: “Ioga pega”, oino ji. Boe egore: “Paedaga pega”, oino ji. “Iedaga pega”, oino ji, gu, gu, gu...		A mulher o chama de meu tio velho, meu velho pai, os bororo o chamam de nosso padrinho, de meu padrinho.	
BOR-CORBO-BOE-01-037	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	37	37	Boe emagore bogai. Ica, ie nure nowu tubegagoduredu boe egore du tabo. Aredu akore: “Ioga pega, ioga pega, ioga, ioga pega...”, oino. “Iwuripega, iwuripega, iwuripega”, oino.		Os bororo chamam ele quando está velho, de meu velho pai, meu velho pai, meu velho pai... Meu tio velho, meu tio velho, meu tio velho...	
BOR-CORBO-BOE-01-038	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	38	38	Imedu pega otowure akoino ji, otowure akore: “Imedupega”, oino ji. Ia boe enodowure ema. Boe egore: “Inodowu pega”, oino. “Inodowu pega”, oino. “Ioga pega”, oino gu, gu, gu... Icare roiwa bokagodure pudabo, Icare rokare nono turore pugeje, Icare ukare karo bito, ukare barogo bito pugeje; icare merukare pugeje, meru jaegirikare pugeje gu, gu, gu...		O seu cunhado o chama de homem velho, ele é cunhado de algumas pessoas, os bororo chamam ele de cunhado velho, meu padrinho velho.	
BOR-CORBO-BOE-01-039	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	39	39	Icare uiodore, uiodore goro, goro, guricá, guricá, guricá je.		Então ele está bem velho, usando bastão, andando devagarinho e mancando.	
BOR-CORBO-BOE-01-040	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	40	40	Beo egore: “Pao pega aregodu”, oino. Boe egore: “Ioga pega aregodu”, oino. “Ioga pega, amugudo, amugudo, amugudo!”.		Os bororo falam: “O velho chegou”. Os bororo falam para ele: “Meu velho pai chegou. Meu velho pai, sente-se”.	
BOR-CORBO-BOE-01-041	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	41	41	Ia boere jetadudo, boe egore: “Ioga pega, ioga pega, ioga pega, aedadudo, akerogu reo, aedadudo awo akerogu ko”.		Alguém o acorda, os bororo falam: “Meu velho pai, meu velho pai acorda. Aqui sua comidinha, acorda para você comer sua comidinha.”	
BOR-CORBO-BOE-01-042	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	42	42	Ah! Akore: “Uuum, uuum, uuum... ikerogu, ikerogu...” Ure tugeragu, tugeragu ji tu, ure ko tumugui tu je.		Ele disse: “É meu, é meu”. Ele pegou a sua comidinha, saboreando sentado.	
BOR-CORBO-BOE-01-043	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	43	43	ica, nonore icare akedure, pegagodu nure, icare akuru akedure, oinonore icare pao pega, paedaga pega, pamana pegare, pagodowu pegare, pawuri pegare, pawagedu pegare, pagonaregedu pegare, oinore boere, ica.		Então aí que acabou, ele está ficando velho, está quase morrendo, assim, então nosso velho pai, padrinho, nosso irmão mais velho, cunhado, nosso genro, nosso filho é assim que é.	
BOR-CORBO-BOE-02-001	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	01	01	Oinore boe erore tonaregedu areduroguji:		Assim que se faz com sua filha menina.	
BOR-CORBO-BOE-02-002	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	02	02	Boe etonaregedu aredu rogu buture. Boe egore: “Butu, aredu, aredurogu, aredu rogure ema”.		Nasceu uma filha menina, a gente está falando: “A mulher nasceu, menina, menina, menina ela é.	
BOR-CORBO-BOE-02-003	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	03	03	“Uu! Ema rugadu, ema rugadu”.		Ah! Sim ela mesmo, ela mesmo.	
BOR-CORBO-BOE-02-004	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	04	04	Ica, Icare boere iedo, boe eragodure ie paruji. Ica, boere iedo taci je. Icare boe egore: “Icare ire itonaregedurogu iedo, Icare ire aredurogu iedo, ire aredurogu iedo”.		Aí a gente deu nome a ela, a gente deu nome a ela, depois começa o ritual do nome, daí deram nome prá ela, assim a gente faz.	
BOR-CORBO-BOE-02-005	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	05	05	Icare ricodugodure gu, gu, gu...		Daí ela foi crescendo pouco por vez.	
BOR-CORBO-BOE-02-006	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	06	06	Icare makore, batarure, akore: “Imuga”, oino. Akore: “Ioga”, oino .		Daí ela começou a falar e disse: “Minha mãe” assim, ela disse: “Meu pai”, assim.	
BOR-CORBO-BOE-02-007	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	07	07	Uce akore: “Are, are, are”.		A mãe dela disse: “Minha filhinha, filhinha, filhinha.”	
BOR-CORBO-BOE-02-008	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	08	08	Akore: “Ah!”, oino. Akore: “Mato, mato, mato”, oino .		Ela respondeu: “O quê?” assim, ela diz: “Venha, venha, venha, venha”, assim.	
BOR-CORBO-BOE-02-009	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	09	09	Makore bogai, akore: “Are, are, are”.		Ela chama ela diz: “Filhinha, filhinha, filhinha.”	
BOR-CORBO-BOE-02-010	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	10	10	Akore: “Ah!” Akore: “Mato, mato, mato, mato”. Ah! Aregodure, akore: “Imireu, itaregodu”.		Ela responde: “O quê?” Ela diz: “Venha, venha, venha, venha. Ah! Você chegou!” Ela diz: “Estou aqui, cheguei.”	
BOR-CORBO-BOE-02-011	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	11	11	“Ah! Mato, mato”.		Ela disse: “Venha, venha.”	
BOR-CORBO-BOE-02-012	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	12	12	Nowu onaregedu rogu akore: “Itaidure iwo inogwagirido, mokuro boire i, bibi”.		Aquela filhinha dela disse: “Eu quero mamar leite”.	
BOR-CORBO-BOE-02-013	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	13	13	Boe etore kugure egore: “Bibi”, oino mokuroji, mokuro, tuge mokuroji, tuge mokuroji.		As criancinhas falam: “Bibi, mamar do leite”.	
BOR-CORBO-BOE-02-014	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	14	14	Ica, Icare merure, rere; boere,  ucere pagududo.		Depois então ela anda e corre, a gente, a mãe dão medo a ela.	
BOR-CORBO-BOE-02-015	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	15	15	Akore: “Are, atu kaba toro. Are, mato”.		Ela diz: “Filhinha não vai para lá, filhinha vem para cá.”	
BOR-CORBO-BOE-02-016	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	16	16	Akore: “Are, amugu tugudo; kugu, rie, kodu mato, mugu nono; bari mode awia porodo”.		Ela diz: “Filhinha assenta-se e fica quieta corujão, lobo vem aí, ele está aí, o feiticeiro vai furar a sua orelha.”	
BOR-CORBO-BOE-02-017	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	17	17	Aredurogu uce akore ji.		A mãe da criancinha fala assim para ela.	
BOR-CORBO-BOE-02-018	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	18	18	Aredu akore tonaregedu areduroguji.		A mãe fala assim para sua filhinha.	
BOR-CORBO-BOE-02-019	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	19	19	Ica, Icare ricodure. Boe, egore tonaregedu aredu mokuro aregodu kejeie Icare boe epogurure ce, tonaregedu aredurogu ce.		Daí ela foi crescendo, a gente diz: “Quando cresce o peito da menina, daí a gente começa a ter vergonha dela, da sua filhinha.”	
BOR-CORBO-BOE-02-020	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	20	20	Ica, Icare mokurore, mokuro aregodure. Ah! Nonore Icare nogwaredurogu nure ema pugeje, nogwaredu nure ema pugeje.		Agora ela tem peito, está começando a crescer o peito, ela chegou na idade de mocinha, ela chegou na idade de mocinha.	
BOR-CORBO-BOE-02-021	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	21	21	Boe egore: “Nogwaredu”, oino ji.		A gente diz: “Mocinha”, assim, prá ela.	
BOR-CORBO-BOE-02-022	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	22	22	Ica, nonore Icare ure... ure kodokora rogu to. Ucere roiwado, ucere jorduiwado.		Sim, agora ela faz esteira, a mãe ensina e orienta ela, ensina ela.	
BOR-CORBO-BOE-02-023	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	23	23	Ure tugeragu kodoroji, noido oroji, apido oroji, kuo oroji, marido oroji. Uwo turokagado ji.		Ela apanha broto de palmeira, o broto do babaçu, o broto do acuri, broto de painha do campo, broto de buriti para experimentar a tecer.	
BOR-CORBO-BOE-02-024	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	24	24	Icare ure parikiboto rogu to, ure kodorabo rogu to gu, gu, gu...		Agora ela faz baniquinho, cestinho, pouco por vez.	
BOR-CORBO-BOE-02-025	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	25	25	Icare roiwagodure, Icare ure kodo to, Icare kodorabo to, Icare baku to.		Aí ela começa a se desenvolver, faz cesto, faz cestinho e bandeja.	
BOR-CORBO-BOE-02-026	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	26	26	Icare orewudure, Icare orewudure, Icare orewudure ema.		Aí ela começa a ter menstruação, começa a ter menstruação mensal.	
BOR-CORBO-BOE-02-027	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	27	27	Koare orewudure.		Por isso ela teve menstruação.	
BOR-CORBO-BOE-02-028	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	28	28	Nonore Icare okogere. Boe egore: “Pawo akogedo, pawo amagu jewu pawagedu ai, pagonaregedu ai.		Aí ela se casa, agente diz: “Vamos fazer ela casar, vamos dar você para aquele rapaz, para ser o nosso genro, para nosso filho.”	
BOR-CORBO-BOE-02-029	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	29	29	A! Boere makai, boere okogedo.		Aí a gente dá para ela, aí a gente casa ela.	
BOR-CORBO-BOE-02-030	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	30	30	Ica, boere omeado, boere, ucere omeado, omea bu baku keje,		Aí a gente faz ela oferecer comida, a gente e a mãe dão certos alimentos, põe os alimentos na bandeja.	
BOR-CORBO-BOE-02-031	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	31	31	Apeo kodu, noo kodu, akó kodu, kuo kodu, apea, noa, motore, ure bu baku keje.		Polpas de castanhas, castanha de acuri, polpa de castanha de babaçu, polpa de castanha de macaúba, castanha de palmeirinha do campo, castanha de acuri e qualquer tipo de castanha, miolo do broto de macaúba ela põe na bandeja.	
BOR-CORBO-BOE-02-032	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	32	32	Kurodureboe, ari, boko, bato, eko, mano, akogo, jatugu, Ica aredu omeareno, nogwaredu omeareno, toredu ai, toredu bogai.		Frutos maduros, marmelada crespa, fruta de veado, mangaba, pequi, coco de buriti, tarumã do mato, cajuzinho do mato, estes alimentos são os que as mulheres oferecem, estes são os que as recém-casadas oferecem para seus maridos, para os maridos delas.	
BOR-CORBO-BOE-02-033	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	33	33	Icare aredure ema rugadu, Icare orere, onaregedure, orere pobe, pobe ma metia bokware, orere pobe puibiji, ia onaregedure mito tu je, orere pobe tu je nono. Icare boe etujere ema pugeje.		Aí ela se torna mulher de verdade, aí ela dá filhos, ela tem dois filhos, três e quatro filhos. Tem delas que só têm um filho, outras têm dois filhos. Aí ela se torna a mãe da gente.	
BOR-CORBO-BOE-02-034	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	34	34	Boe egore: “Imuga”, oino ji. Icare iwororaere. Icare maragodure, Icare boe etujere ema.		Aí a gente fala: “Minha mãe”, para ela, aí ela trabalha para oferecer comida para as almas, aí ela trabalha, aí então ela se torna a mãe da gente.	
BOR-CORBO-BOE-02-035	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	35	35	Koare boe egore: “Imuga”, oino. Boe egore: “Paje”, oino. Boe egore: “Imuga”, oino. Boe egore: “Paje”. Oino, boe egore.		Por isso a gente fala: “A minha mãe”, assim, a gente fala: “Nossa mãe”, assim, então a gente fala: “Minha mãe”, assim, a gente fala: “Nossa mãe”, assim.	
BOR-CORBO-BOE-02-036	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	36	36	Ah! Oino, boe egore ji. Ica, boe etuje nure ema pugeje. Boe egore: “Imuga pega”, oino.		A gente fala: “Minha mãe”, assim, ela responde: “O quê”, assim, a gente fala: “Corre prá cá assim”, a gente fala prá ela, daí a gente fala: “Minha mãe” assim prá ela, a gente fala: “Minha avó”, assim.	
BOR-CORBO-BOE-02-037	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	37	37	Icare, pegagodure.		Aí ela começa a ficar velha.	
BOR-CORBO-BOE-02-038	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	38	38	Icare egore: “Imuga pega”, oino ji. Boe egore: “Ituie pega”, oino ji. Boe egore: “Paje pega”, oino ji. Boe egore: “Pajarugo pega”, oino j. Boe egore: “Parago pega”, oino ji. “Ituie pega”, oino. Boe egore ji: “Aredu pega”, oino.		Agora a gente fala: “Minha velha mãe”, assim, prá ela, aí a gente fala: “Nossa mãe velha” assim prá ela, a gente fala: “Nossa tia velha” assim prá ela, a gente fala: “Nossa sogra velha” assim prá ela, a gente fala: “Nossa nora velha”, assim, prá ela.	
BOR-CORBO-BOE-02-039	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	39	39			A sogra dela fala: “Minha nora velha” assim prá ela, “Minha nora” assim, “Minha sogra velha” assim, “Minha tia velha” velha, a gente fala: “Mulher velha” assim.	Lacuna documental: a tradução portuguesa possui o item 39, mas não há item 39 correspondente no texto Bororo impresso; a numeração Bororo passa de 38 para 40.
BOR-CORBO-BOE-02-040	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	40	40	Icare pegagodure remawu, Icare roiwa bokagodure pudabo. Icare merukare pugeje, Icare ukare jerigi kado pugeje, ukare jerigi arego pugeje. ICá, Icare uiodore goro, goro, goro.		Aí ela começa a ficar velha duma vez, aí ela começa ficar sem agilidade, aí ela não anda mais, aí ela não corta mais lenha, não traz mais lenha, aí ela tem um bastão e anda devagarinho.	
BOR-CORBO-BOE-02-041	2	AREDU RO AKO BOE	Antônio Kanajó	Teodoro Clementino Marege Eceba	41	41	Icare ia onaregedure, ia uragore, iedure ieraji pugeje goro, goro, goro. Ica, Icare merukare. “Woo, Icare akuru akedure”. Boe egore, “Paje pega kugudugodu nure”, oino. Boe egore: “Paje pega akuru akedu nure”, oino. “Pajepega bigodu nure”, oino.		Aí ela tem um filho ou uma filha segurando na mão dela e andando devagar, aí ela não anda duma vez, aí ela não caminha mais longe, a gente fala: “A nossa mãe está enfraquecida assim, a nossa mãe está enfraquecida, assim, a nossa velha mãe está morrendo.”	
