id	source	reviewed	portuguese	source_sent_id
BOR-CORBO-ADU-0018	Ure ca , akore wooo , wooo , wooo , ure ipo to ji po po po po po , ure ipo to ji tu .	Ure ca , akore wooo , wooo , wooo , ure ipo to ji po po po po po , ure ipo to ji tu .	Aí ele diz: Wo! ... Wo! ... Wo! ... Ele bate com o pau nela pó pó pó pó pó! Ele bate com o pau nela.	AdugoBiri-2.6
BOR-CORBO-ADU-0019	Ure ca , dukeje icare ure toriga jodo okwa keje , Boe egore ure oku bowuje , oinore boe egore ure oku bowuje , cewu okwa , okwa , okwa jire ego oino oku .	Ure ca , dukeje icare ure toriga jodo okwa keje , Boe egore ure oku bowuje , oinore boe egore ure oku bowuje , cewu okwa , okwa , okwa jire ego oino oku .	Aí então ele passa a faca no focinho dela. Os Bororo falam oku no lugar de okwa (boca). Eles dizem: Ele abriu o focinho dela.	AdugoBiri-2.7
BOR-CORBO-ADU-0020	Ure okeagi caci , ca , kare akore ica !	Ure okeagi caci , ca , kare akore ica !	Ele risca a barriga dela e diz: Pronto!	AdugoBiri-2.7-1
BOR-CORBO-ADU-0021	Taburedo mato , pawo biri ta .	Taburedo mato , pawo biri ta .	Venham, vamos tirar o couro dela.	AdugoBiri-2.7-2
BOR-CORBO-ADU-0022	Boe icare are akedudo tu je.	Boe icare are akedudo tu je.	Então os Bororo tiram o couro dela. Aí terminam.	AdugoBiri-2.7-3
BOR-CORBO-ADU-0023	Ure icare boe ere kodu maku , kodu maku , kodu maku .	Ure icare boe ere kodu maku , kodu maku , kodu maku .	Depois eles vão repartindo a carne.	AdugoBiri-2.8.1
BOR-CORBO-ADU-0024	Cibae Etawadu epare ukere adugo morara .	Cibae Etawadu epare ukere adugo morara .	O cantor de Cibae Etawado é quem recebe o lombo da onça.	AdugoBiri-2.8.2
BOR-CORBO-ADU-0025	Ca , ere morara jodo Cibae Etawadu epa keje tuku !	Ca , ere morara jodo Cibae Etawadu epa keje tuku !	Então eles entregam o lombo para o cantor de Cibae Etawado .	AdugoBiri-2.8.3
BOR-CORBO-ADU-0026	Ure care , Boere akedudo dukeje , icare Boe eture , adugo apo .	Ure care , Boere akedudo dukeje , icare Boe eture , adugo apo .	Quando os Bororo terminam, vão embora com ela, com a onça pintada.	AdugoBiri-2.10
BOR-CORBO-ADU-0027	Ure icare areme emearudure boe ekudu ji .	Ure icare areme emearudure boe ekudu ji .	Quando as mulheres escutam o grito dos Bororo.	
BOR-CORBO-ADU-0028	Areme egore baaa , paobe ekudu aregodu , paobe ekudu aregodu !	Areme egore baaa , paobe ekudu aregodu , paobe ekudu aregodu !	As mulheres dizem: Ba! Está chegando o grito dos nossos parentes! Está chegando o grito dos nossos parentes! Ah! As mulheres correm para lá ao encontro deles.	
BOR-CORBO-ADU-0029	A , areme eregodure toro , etaregodo etogi tu .	A , areme eregodure toro , etaregodo etogi tu .	Ah! As mulheres correm para lá ao encontro deles.	
BOR-CORBO-ADU-0030	Ure ca , icare nowu ure bitowu , ure adugo bitowu uce , uwie , koiare ure tudugu nowu adugo biri ji .	Ure ca , icare nowu ure bitowu , ure adugo bitowu uce , uwie , koiare ure tudugu nowu adugo biri ji .	Então a mãe, ou a irmã mais velha ou a irmã mais nova daquele que matou a onça pintada, carrega o couro.	
BOR-CORBO-ADU-0031	Ca , Boe ekodure , Boe etaregodure baa to tu .	Ca , Boe ekodure , Boe etaregodure baa to tu .	Aí vão e chegam na aldeia.	
BOR-CORBO-ADU-0032	Ure ca , dukeje icare ure bureagurudo pugeje ; cewu epa ure bureagurudo pugeje nono , baa tada pugeje .	Ure ca , dukeje icare ure bureagurudo pugeje ; cewu epa ure bureagurudo pugeje nono , baa tada pugeje .	Aí então ele dança novamente. Aquele que matou a onça dança de novo aí na aldeia.	
BOR-CORBO-ADU-0033	Ure bureagurudo ukudawu remawu ji pugeje tu , ca !	Ure bureagurudo ukudawu remawu ji pugeje tu , ca !	Ele dança ao redor do dono do couro de novo.	
BOR-CORBO-ADU-0034	Ure ca , ure batarudo ji .	Ure ca , ure batarudo ji .	Aí ele fala por ela.	
BOR-CORBO-ADU-0035	Ca , ure batarudodu akedudo, dukeje icare otowure tugeragu nowu adugo biri ji : no , no , huuu , hu , huuu !	Ca , ure batarudodu akedudo, dukeje icare otowure tugeragu nowu adugo biri ji : no , no , huuu , hu , huuu !	Aí ele fala por ela: Pronto! Depois que acaba de falar por ela, o cunhado dele pega o couro da onça pintada, agradecendo (No... no hu... hu... Hu!...).	
BOR-CORBO-ADU-0036	Ure ca , care ure cedo toro ba to , toro kae .	Ure ca , care ure cedo toro ba to , toro kae .	Aí ele é levado lá para a casa, para o lugar dele.	
BOR-CORBO-ADU-0037	Ca , oreduje ure kodo baado , ca , ure adugo biri mugudo tu .	Ca , oreduje ure kodo baado , ca , ure adugo biri mugudo tu .	A mulher estende a esteira e coloca em cima o couro da onça pintada.	
BOR-CORBO-ADU-0038	Ure care nowu ukudawu remawu aregodure mato tuwabo tabo , icare uragodure joki .	Ure care nowu ukudawu remawu aregodure mato tuwabo tabo , icare uragodure joki .	Aí o dono do couro chega com o seu chocalho e aí canta sobre ele.	
BOR-CORBO-ADU-0039	Ure uragodu akedure tu , ca , nono ere bapo maku maku pugeje .	Ure uragodu akedure tu , ca , nono ere bapo maku maku pugeje .	Quando termina o canto eles entregam de novo o chocalho.	
BOR-CORBO-ADU-0040	Nonore icare boere bapo maku nowu Bakororo ika epa ai tu .	Nonore icare boere bapo maku nowu Bakororo ika epa ai tu .	Aí eles entregam o chocalho para o cantor de Bakororo Ika.	
BOR-CORBO-ADU-0041	Ca , dukeje icare are Bakororo ika ko .	Ca , dukeje icare are Bakororo ika ko .	Aí eles cantam o canto Bakororo Ika.	
BOR-CORBO-ADU-0042	Ure dukeje icare Boe eregodure nowu ure adugo bitowu ae toro waaa , waaa !	Ure dukeje icare Boe eregodure nowu ure adugo bitowu ae toro waaa , waaa !	Depois os Bororo vão lá correndo buscar o que matou a onça. Wa!... Wa!	
BOR-CORBO-ADU-0043	Toro , mugure toro tuobe ebo dukae .	Toro , mugure toro tuobe ebo dukae .	Lá, onde ele fica com os seus parentes.	
BOR-CORBO-ADU-0044	Ure Boe ero biri reo , boe ero pemegarewu .	Ure Boe ero biri reo , boe ero pemegarewu .	Este é o ritual bem feito com o couro da onça.	
BOR-CORBO-ADU-0045	Boe eedui kimo tabo, Boe enogwa padui kimo dutabo .	Boe eedui kimo tabo, Boe enogwa padui kimo dutabo .	Quando os Bororo ainda existiam, na época que tinha muita gente.	
BOR-CORBO-ADU-0046	Ure ere Boe ero pemegado .	Ure ere boe ero pemegado .	Eles faziam as coisas bem feitas.	
BOR-CORBO-ADU-0047	Boe ero moture, Boe ero kororogodure , Boe ero motudure .	Boe ero moture, Boe ero kororogodure , Boe ero motudure .	O costume dos Bororo era bonito, era perfeito, era bem solene.	
BOR-CORBO-ADU-0048	Ure oino rema , oinore care Boe ero akedure , Boe ero bokware pugeje .	Ure oino rema , oinore care Boe ero akedure , Boe ero bokware pugeje .	Mas agora é assim, agora o costume dos Bororo já acabou. O costume Bororo já não existe mais.	
BOR-CORBO-ADU-0049	Ure ca , dukeje icare eregodure ae , marenaruie keje pugeje : marenaruie , marenaruie , eigoia ...	Ure ca , dukeje icare eregodure ae , marenaruie keje pugeje : marenaruie , marenaruie , eigoia ...	Aí então eles correm no rumo dele, na hora do canto de Marenaruie: Mare... na... ru... ie... mare... na... ru... ie... ei... go... ia...	
BOR-CORBO-ADU-0050	Eregodure toro ae , egore waaa , waaa , waaa ...	Eregodure toro ae , egore waaa , waaa , waaa ...	Eles correm lá para buscá-lo, gritando: Wa!... Wa!... Wa!...	
BOR-CORBO-ADU-0051	Ure ca , ere reko mato pugeje .	Ure ca , ere reko mato pugeje .	Aí eles o trazem para cá de novo.	
BOR-CORBO-ADU-0052	Ca , ere mugudo woe , nowu adugo biri keje tu .	Ca , ere mugudo woe , nowu adugo biri keje tu .	Depois eles o fazem sentar aqui, no couro da onça pintada.	
BOR-CORBO-ADU-0053	Ure ca , dukeje icare ure biri porodo , ure biri porodo pugeje to to to to .	Ure ca , dukeje icare ure biri porodo , ure biri porodo pugeje to to to to .	Depois ele fura o couro, ele fura o couro de novo, to to to.	
BOR-CORBO-ADU-0054	Ia metuiare tugera bararedo ji , nowu biri porodo duji , nowu Bakororo ika kuda , kidoguru paru kuda , marenaruie kuda .	Ia metuiare tugera bararedo ji , nowu biri porodo duji , nowu Bakororo ika kuda , kidoguru paru kuda , marenaruie kuda .	Um dos companheiros dele o ajuda a furar o couro. Durante os cantos de Bakororo Ika, Kidoguru Paru e Marenaruie.	
BOR-CORBO-ADU-0055	Oinore Boe erore .	Oinore Boe erore .	Assim que os Bororo fazem.	
BOR-CORBO-ADU-0056	Ure mare awu inodu jire Kogure ako oino .	Ure mare awu inodu jire Kogure ako oino .	Mas é isto que Kogure (Formigão) está falando.	
BOR-CORBO-ADU-0057	Imagonure tu oino , paga tu je .	Imagonure tu oino , paga tu je .	Eu estou falando só por falar.	
BOR-CORBO-ADU-0058	Mare awu iwagedu Enawurewu makore , emare okeare , emare aidure .	Mare awu iwagedu Enawurewu makore , emare okeare , emare aidure .	Mas este meu afilhado Enawureu pediu. Ele que interessa, ele que gosta.	
BOR-CORBO-ADU-0059	Ure aidure paganure tu je , okearogu paganure tu je .	Ure aidure paganure tu je , okearogu paganure tu je .	Ele interessa só por interessar, ele gosta só por gostar.	
BOR-CORBO-ADU-0060	Awu boe etore eeruduwo, boe etore emearuduwo , mare egowo oino karega .	Awu boe etore eruduwo, boe etore emearuduwo , mare egowo oino karega .	Para as crianças verem, para as crianças escutarem, mas para elas falarem não é assim.	
BOR-CORBO-ADU-0061	Ure awuge eeruduwamodukare Boe ero bogai , eeruduwamodukare Boe ewadaru bogai , eeruduwamodukare roia bogai .	Ure awuge eeruduwamodukare Boe ero bogai , eeruduwamodukare Boe ewadaru bogai , eeruduwamodukare roia bogai .	Estes não vão aprender os rituais, não vão aprender a língua bororo, não vão aprender a cantar em bororo.	
BOR-CORBO-ADU-0062	Ure awu makaguragare , raicigo .	Ure awu makaguragare , raicigo .		
BOR-CORBO-ADU-0063	Baraedu tuwadaru jire eeruduware , baraedu tumago jire eeruduware , kode eragodumoduka , egomodukare. tamodukare kagado, tamodukare pemegado.	Baraedu tuwadaru jire eeruduware , baraedu tumago jire eeruduware , kode eragodumoduka , egomodukare. tamodukare kagado, tamodukare pemegado.	Eles só aprendem a língua dos brancos, só sabem a fala dos brancos, então eles não vão cantar, não vão falar em bororo.	
BOR-CORBO-ADU-0064	Tamodukare kagado, tamodukare pemegado.	Tamodukare kagado, tamodukare pemegado.	Vocês não vão falar, vocês não vão melhorar.	
BOR-CORBO-ADU-0065	Ure a , oinore ure , oinore akore , oinore gravador akore , oinore meriri akore , inodumoduka .	Ure a , oinore ure , oinore akore , oinore gravador akore , oinore meriri akore , inodumoduka .	Ah! Assim que é, assim que ele falou, assim que o gravador falou, assim que o aparelho falou. Isso não vai ter.	
BOR-CORBO-ADU-0066	Awu iwagedure aidure tu je , kodire inagore tu oino , awu inodurogu tu je.	Awu iwagedure aidure tu je , kodire inagore tu oino , awu inodurogu tu je.	Só este meu afilhado que quis, por isso eu falei só esta coisinha.	
BOR-CORBO-ADU-0067	Tamearudumode tu oino awu inodurogu ji tu je.	Tamearudumode tu oino awu inodurogu ji tu je.	E vocês vão escutar só essa coisinha.	
BOR-CORBO-ADU-0068	Awu ia ipare ekare turokagado tu oino nowu uragodure tu jiwuge eegai !	Awu ia ipare ekare turokagado tu oino nowu uragodure tu jiwuge eegai !	Nenhum destes rapazes experimentou na frente dos que cantam.	
BOR-CORBO-ADU-0069	Ca , iwagedu Félix makore Cibae Tawadu bogai .	Ca , iwagedu Félix makore Cibae Tawadu bogai .	Vejam! O meu afilhado Félix pedia para aprender o canto Cibae Etawado.	
BOR-CORBO-ADU-0070	Ire Cibae Tawadu kagado biegai, mare akedukare .	Ire Cibae Tawadu kagado biegai, mare akedukare .	Eu ensinei para ele o Cibae Etawado mas ele não terminou. Ele não quis bem, ele não acabou.	
BOR-CORBO-ADU-0071	Dukodire , imagonure tu oino Boe ereru ji , Boe ero ji, tu rugadu .	Dukodire , imagonure tu oino Boe ereru ji , Boe ero ji, tu rugadu .	Por isso que estou falando assim: como é que os Bororo dançam, como é que os Bororo fazem, só isso.	
BOR-CORBO-ADU-0072	Ca , nono Boe egore , care ere biri porodo .		Eis! Assim que os Bororo falam. Então eles furam o couro.	
BOR-CORBO-ADU-0073	Ere biri porododu akedudo tu .	Ere biri porododu akedudo tu .	Eles terminam de furar o couro.	
BOR-CORBO-ADU-0074	Ca , ca , nowu biri porododu akedure dukeje , care nowu uragodureu akore barogo porododu kejewu reo .	Ca , ca , nowu biri porododu akedure dukeje , care nowu uragodureu akore barogo porododu kejewu reo .	Aí depois que acabaram de furar o couro, o cantor canta assim: Este é o canto para a furação do couro do bicho.	
BOR-CORBO-ADU-0075	Mare tamearudumode tu oino.	Mare tamearudumode tu oino.	Mas vocês só vão escutar agora.	
BOR-CORBO-ADU-0076	Ca , awu oto pa reo .	Ca , awu oto pa reo .	Eis! Este é o final.	
BOR-CORBO-ADU-0077	Awu akedu , barogo biri porododure oto pa reo .	Awu akedu , barogo biri porododure oto pa reo .	Aqui acaba , esse é o final do canto da furação do couro do bicho.	
BOR-CORBO-ADU-0078	Bitoduredu , etaregoduredu , oto pa reo .	Bitoduredu , etaregoduredu , oto pa reo .	Quando o bicho é morto. Quando eles chegam, este é o final.	
BOR-CORBO-ADU-0079	Ure Toara Kujagudodu kejere icare, Aaa! Boe erare pugeje. Nowu ku rire, pemegare toro pugeje. Ca! Urugadu jao.	Ure Toara Kujagudodu kejere icare, Aaa! Boe erare pugeje. Nowu ku rire, pemegare toro pugeje. Ca, urugadu jao.	Lá, mais tarde, quando o couro é pintado, aí os Bororo cantam de novo. Esse é grande, lá é bom de novo. Eis! Chega por agora.	
BOR-CORBO-ADU-0080	Awu Boe etaregodui apodu , bitoduredu , biri porododuredu oto pa reo , oinore Boe egore , oinore Boe erore .		Quando chegam com ele, quando matam o bicho, quando furam o couro dele, este é o final. Assim que os Bororo falam, assim que os Bororo fazem.	
